,Word,Frequency
0,one,63931
1,said,49484
2,would,45700
3,mr,41828
4,could,35457
5,like,33596
6,time,29361
7,know,29124
8,thing,29019
9,little,28904
10,man,26770
11,see,25178
12,well,24592
13,day,23665
14,come,23633
15,never,21931
16,say,21917
17,way,21868
18,go,21617
19,old,21355
20,back,21346
21,life,20932
22,much,20331
23,think,20146
24,hand,20030
25,good,20024
26,made,19638
27,thought,19364
28,came,18425
29,eye,17945
30,make,17347
31,upon,16953
32,went,16898
33,first,16755
34,house,16704
35,long,16431
36,great,16418
37,woman,16187
38,must,15663
39,even,15564
40,always,15308
41,something,15251
42,get,15186
43,two,15032
44,room,15019
45,might,14995
46,people,14916
47,face,14375
48,seemed,14198
49,year,14152
50,away,14046
51,new,13930
52,oh,13921
53,young,13691
54,u,13454
55,looked,13439
56,still,13416
57,look,13317
58,going,13160
59,men,13060
60,want,13002
61,take,12946
62,got,12799
63,place,12733
64,last,12449
65,nothing,12064
66,girl,12057
67,though,11948
68,right,11871
69,saw,11722
70,yet,11597
71,mother,11597
72,every,11581
73,moment,11349
74,yes,11320
75,tell,11315
76,without,11294
77,night,11294
78,may,11247
79,father,11202
80,knew,11191
81,ever,11169
82,let,11103
83,felt,11089
84,world,10764
85,_,10730
86,asked,10704
87,head,10618
88,put,10586
89,work,10572
90,boy,10442
91,miss,10401
92,many,10298
93,word,10277
94,mind,10241
95,door,10154
96,child,10130
97,anything,9959
98,left,9714
99,found,9700
100,home,9615
101,mean,9565
102,give,9451
103,friend,9420
104,another,9309
105,street,9237
106,took,9193
107,love,9170
108,enough,8969
109,told,8956
110,better,8776
111,turned,8678
112,light,8659
113,course,8652
114,really,8323
115,began,8271
116,stood,7915
117,almost,7896
118,voice,7884
119,kind,7868
120,perhaps,7820
121,rather,7809
122,quite,7746
123,fact,7720
124,looking,7659
125,shall,7634
126,seen,7602
127,wife,7582
128,heard,7578
129,done,7520
130,sat,7422
131,far,7421
132,lady,7410
133,side,7399
134,part,7340
135,hour,7301
136,book,7279
137,find,7248
138,heart,7106
139,talk,7080
140,three,7008
141,half,6991
142,feel,6975
143,town,6899
144,gave,6812
145,white,6785
146,whole,6598
147,matter,6591
148,end,6576
149,name,6518
150,wanted,6389
151,since,6317
152,poor,6284
153,sense,6239
154,called,6224
155,morning,6214
156,best,6193
157,everything,6156
158,sure,6155
159,arm,6141
160,city,6116
161,feeling,6104
162,believe,6104
163,keep,6087
164,money,6065
165,together,6031
166,window,6009
167,dear,5994
168,le,5963
169,question,5839
170,gone,5792
171,foot,5733
172,letter,5723
173,story,5714
174,air,5709
175,evening,5685
176,next,5679
177,country,5662
178,coming,5649
179,among,5636
180,table,5507
181,read,5482
182,small,5431
183,suppose,5348
184,brought,5337
185,least,5282
186,help,5246
187,round,5245
188,rose,5239
189,used,5205
190,business,5181
191,alone,5171
192,god,5150
193,call,5087
194,till,5051
195,along,5036
196,family,5015
197,also,4999
198,idea,4993
199,point,4963
200,hard,4946
201,passed,4936
202,high,4918
203,black,4901
204,sort,4891
205,set,4891
206,kept,4865
207,taken,4865
208,de,4807
209,open,4746
210,care,4734
211,hope,4732
212,wish,4697
213,full,4678
214,case,4665
215,else,4646
216,son,4637
217,fellow,4637
218,water,4633
219,certain,4633
220,week,4625
221,suddenly,4613
222,husband,4604
223,show,4538
224,american,4536
225,known,4514
226,reason,4484
227,behind,4471
228,chair,4442
229,held,4432
230,however,4431
231,understand,4423
232,sometimes,4416
233,soon,4400
234,often,4389
235,given,4387
236,interest,4384
237,red,4380
238,ask,4376
239,others,4371
240,toward,4330
241,person,4319
242,across,4311
243,hear,4299
244,beautiful,4293
245,met,4287
246,answered,4280
247,whether,4269
248,leave,4263
249,live,4250
250,state,4233
251,church,4233
252,minute,4214
253,turn,4211
254,already,4199
255,march,4198
256,tried,4188
257,george,4188
258,whose,4187
259,wall,4176
260,york,4157
261,hair,4156
262,added,4144
263,big,4134
264,line,4125
265,near,4083
266,tree,4080
267,speak,4071
268,bed,4071
269,office,4068
270,pretty,4060
271,paper,4056
272,road,4043
273,daughter,4034
274,indeed,4030
275,picture,4026
276,large,4013
277,making,4006
278,remember,3986
279,ought,3962
280,saying,3943
281,step,3933
282,lay,3928
283,need,3909
284,later,3908
285,past,3875
286,five,3867
287,english,3867
288,dark,3867
289,general,3861
290,thinking,3850
291,different,3847
292,living,3839
293,certainly,3835
294,smile,3819
295,fine,3804
296,afraid,3789
297,lost,3785
298,stand,3764
299,present,3762
300,brother,3761
301,figure,3739
302,spoke,3738
303,fire,3733
304,afternoon,3732
305,art,3730
306,bad,3696
307,walked,3681
308,returned,3672
309,manner,3671
310,garden,3661
311,rest,3651
312,sound,3649
313,laughed,3640
314,death,3619
315,became,3615
316,lived,3613
317,cried,3612
318,use,3590
319,blue,3587
320,sir,3586
321,real,3580
322,seems,3578
323,married,3576
324,play,3568
325,short,3549
326,glad,3547
327,beauty,3538
328,appeared,3533
329,nature,3531
330,spirit,3522
331,horse,3518
332,true,3503
333,sister,3499
334,dinner,3486
335,month,3484
336,four,3478
337,strange,3472
338,around,3467
339,cold,3463
340,answer,3454
341,chance,3450
342,seem,3449
343,company,3429
344,happy,3428
345,hundred,3394
346,deal,3390
347,walk,3379
348,become,3374
349,ah,3372
350,summer,3369
351,change,3366
352,soul,3359
353,replied,3345
354,war,3339
355,school,3335
356,either,3319
357,lip,3316
358,power,3314
359,silence,3311
360,try,3295
361,sea,3293
362,land,3285
363,second,3285
364,dead,3272
365,liked,3263
366,age,3252
367,john,3246
368,wonder,3242
369,form,3235
370,beyond,3221
371,pleasure,3221
372,hold,3216
373,ground,3180
374,order,3180
375,fell,3172
376,meant,3167
377,self,3167
378,talking,3166
379,effect,3156
380,thousand,3145
381,car,3139
382,late,3132
383,view,3127
384,stopped,3122
385,trying,3120
386,beside,3120
387,gentleman,3117
388,sight,3110
389,run,3103
390,within,3102
391,shoulder,3102
392,sent,3090
393,followed,3077
394,hat,3072
395,body,3062
396,front,3052
397,doubt,3046
398,corner,3044
399,close,3021
400,taking,3016
401,able,2994
402,king,2993
403,longer,2987
404,note,2983
405,ten,2981
406,field,2968
407,continued,2963
408,human,2958
409,laugh,2953
410,hall,2947
411,trouble,2944
412,except,2939
413,truth,2925
414,getting,2923
415,twenty,2921
416,stay,2921
417,happened,2917
418,sitting,2915
419,doctor,2904
420,train,2900
421,hotel,2888
422,ran,2852
423,several,2848
424,ago,2843
425,clear,2833
426,possible,2823
427,tone,2823
428,early,2815
429,dress,2807
430,slowly,2799
431,simply,2797
432,strong,2793
433,bring,2778
434,meet,2776
435,hill,2768
436,green,2767
437,deep,2766
438,law,2748
439,reached,2742
440,youth,2731
441,moved,2724
442,flower,2718
443,return,2715
444,cowperwood,2713
445,low,2704
446,dollar,2701
447,waiting,2696
448,party,2694
449,drew,2686
450,aunt,2685
451,opened,2676
452,character,2674
453,england,2670
454,floor,2670
455,public,2668
456,free,2658
457,presence,2643
458,sun,2637
459,beginning,2634
460,french,2633
461,standing,2623
462,probably,2619
463,smiled,2615
464,spring,2605
465,died,2602
466,earth,2597
467,quiet,2586
468,none,2581
469,talked,2565
470,wait,2554
471,fear,2546
472,easy,2543
473,glass,2536
474,eugene,2536
475,rich,2526
476,forward,2523
477,caught,2512
478,cry,2511
479,lord,2504
480,river,2499
