,17c,19c,20c,21c
0,"('threats', '0.93')","('prompt', '0.80')","('_venires_', '0.80')","('checking', '0.70')"
1,"('lessen', '0.93')","('control', '0.79')","('contract', '0.80')","('checks', '0.68')"
2,"('indignation', '0.93')","('exertion', '0.78')","('undercoat', '0.79')","('checked', '0.67')"
3,"('compell', '0.93')","('resistance', '0.78')","('sum_money', '0.78')","('Checking', '0.57')"
4,"('ruine', '0.93')","('submission', '0.78')","('syndicate_letter', '0.77')","('recheck', '0.53')"
5,"('restrain', '0.93')","('pressure', '0.77')","('instructions', '0.77')","('doublecheck', '0.52')"
6,"('seeks', '0.93')","('vigilance', '0.77')","('payment', '0.77')","('Check', '0.52')"
7,"('sustain', '0.92')","('restraint', '0.77')","('advance', '0.77')","('VGGEN_often', '0.51')"
8,"('rigour', '0.92')","('compliance', '0.76')","('counsel', '0.76')","('Charge_Issuing_worthless', '0.50')"
9,"('remorse', '0.92')","('adversary', '0.76')","('nbraegdort', '0.76')","('ABCActionNews.com', '0.48')"
10,"('fruitless', '0.92')","('impulse', '0.76')","('pretext', '0.76')","('www.usajaguars.com', '0.47')"
11,"('fraud', '0.92')","('repel', '0.76')","('oath', '0.75')","('Checks', '0.47')"
12,"('impious', '0.92')","('self_control', '0.75')","('pledge', '0.75')","('www.usps.com_passport', '0.47')"
13,"('deceit', '0.92')","('sustain', '0.75')","('cheque', '0.75')","('log_onto', '0.46')"
14,"('firm', '0.92')","('constraint', '0.75')","('assistance', '0.75')","('Checked', '0.46')"
15,"('nobleness', '0.92')","('persuasion', '0.74')","('deliberately', '0.74')","('Auto_ConX_section', '0.46')"
16,"('slake', '0.92')","('strengthen', '0.74')","('examination', '0.74')","('Periodically_Nance', '0.45')"
17,"('nourish', '0.92')","('obstinacy', '0.74')","('precaution', '0.74')","('verify', '0.45')"
18,"('ten_times', '0.92')","('restrain', '0.74')","('admission', '0.74')","('Halderman_deposited', '0.45')"
19,"('grateful', '0.92')","('measure', '0.74')","('loan', '0.74')","('heraldnet.com_seahawksblog', '0.45')"
20,"('yielding', '0.92')","('exertions', '0.74')","('receipt', '0.73')","('GazetteXtra.com', '0.44')"
21,"('fondness', '0.92')","('obstacles', '0.74')","('charges', '0.73')","('RJ_Mattes_reads', '0.44')"
22,"('torments', '0.92')","('steadiness', '0.74')","('promptly', '0.73')","('_Check', '0.44')"
23,"('lusts', '0.91')","('presence_mind', '0.73')","('proofs', '0.73')","('paystub', '0.44')"
24,"('assay', '0.91')","('gratification', '0.73')","('plea', '0.73')","('BLOOD_PRESSURE_Free', '0.43')"
25,"('enforce', '0.91')","('efforts', '0.73')","('cash', '0.73')","('heraldtribune.com', '0.43')"
26,"('infamy', '0.91')","('energies', '0.73')","('information', '0.73')","('Withholding_Calculator', '0.43')"
27,"('tyranny', '0.91')","('nerve', '0.73')","('offering', '0.72')","('geek.net', '0.43')"
28,"('compassion', '0.91')","('strength', '0.73')","('proper_shape', '0.72')","('log', '0.42')"
29,"('jealousie', '0.91')","('responsibility', '0.73')","('herries', '0.72')","('Gigwise_Gig_Guide', '0.42')"
30,"('wildness', '0.91')","('reserve', '0.73')","('punctiliously', '0.72')","('rechecks', '0.42')"
31,"('reserv', '0.91')","('resisting', '0.73')","('_money_', '0.72')","('jconline.com', '0.42')"
32,"('vented', '0.91')","('stratagem', '0.73')","('refusal', '0.72')","('Gigwise_Gig_Tickets', '0.42')"
33,"('toil', '0.91')","('exert_utmost', '0.73')","('release', '0.72')","('ssa.gov', '0.42')"
34,"('aspire', '0.91')","('determination', '0.73')","('treasury', '0.72')","('Adesso_USB_roll', '0.42')"
35,"('shameful', '0.91')","('forbearance', '0.73')","('charge', '0.72')","('LaserMotive_LLC', '0.42')"
36,"('resolutions', '0.91')","('effectually', '0.73')","('hipp', '0.72')","('inspect', '0.42')"
37,"('nobler', '0.91')","('defensive', '0.73')","('permission', '0.72')","('Tim_Cuprisin_column', '0.41')"
38,"('evade', '0.91')","('exert', '0.72')","('demonstrate', '0.72')","('Annualcreditreport.com', '0.41')"
39,"('revolt', '0.91')","('violence', '0.72')","('agreement', '0.71')","('http://www.bbb.org', '0.41')"
40,"('covet', '0.91')","('yielding', '0.72')","('discharge', '0.71')","('possible_micrometeroid_damage', '0.41')"
41,"('aggravate', '0.91')","('reaction', '0.72')","('half_dollar', '0.71')","('scan', '0.41')"
42,"('dishonor', '0.91')","('bias', '0.72')","('bottle_wine', '0.71')","('Gigwise_Festival', '0.41')"
43,"('bravery', '0.91')","('support', '0.72')","('gladly', '0.71')","('experimental_PET_scans', '0.41')"
44,"('seeking', '0.91')","('resolve', '0.72')","('postmastership', '0.71')","('www.gardencitypl.org', '0.41')"
45,"('expose', '0.91')","('secrecy', '0.72')","('request', '0.71')","('bsudailynews.com', '0.41')"
46,"('destroying', '0.91')","('resist', '0.72')","('city_treasurer', '0.71')","('bbb.org', '0.41')"
47,"('oppression', '0.91')","('fortitude', '0.72')","('collect', '0.71')","('www.AnnualCreditReport.com', '0.41')"
48,"('suffers', '0.91')","('measures', '0.72')","('support', '0.71')","('verifications', '0.41')"
49,"('awe', '0.90')","('resource', '0.72')","('ten_dollars', '0.71')","('reciept', '0.41')"
